10021	1	1	2	4	12
10093	1	0	0	0	0
10094	1	1	2	5	13
10097	1	0	0	0	0
10098	1	0	0	0	0
10100	1	1	2	5	13
10120	1	1	2	6	14
10181	1	0	0	0	0
10189	1	1	2	2	10
10198	1	0	0	0	0
10228	1	1	2	4	12
10240	1	0	0	0	0
10269	1	1	2	2	10
10273	1	1	2	4	12
10293	1	1	2	1	9
10311	1	0	0	0	0
10316	1	0	0	0	0
10318	1	0	0	0	0
10320	1	0	0	0	0
10324	1	1	2	4	12
10360	1	1	2	4	12
10412	1	0	0	0	0
10420	1	0	0	0	0
10424	1	0	0	0	0
10442	1	1	2	3	11
10453	1	0	0	0	0
10478	1	0	0	0	0
10488	1	0	0	0	0
10491	1	0	0	0	0
10556	1	1	2	2	10
10598	1	1	2	6	14
10628	1	1	2	8	16
10638	1	1	2	4	12
10678	1	0	0	0	0
10688	1	0	0	0	0
10691	1	0	0	0	0
10697	1	1	2	8	16
10698	1	1	2	8	16
10715	1	0	0	0	0
10727	1	1	2	4	12
10728	1	1	2	7	15
10729	1	1	2	8	16
10743	1	1	2	4	12
10762	1	1	2	2	10
10777	1	0	0	0	0
10782	1	0	0	0	0
10784	1	0	0	0	0
10960	1	0	0	0	0
10970	1	0	0	0	0
10977	1	0	0	0	0
10985	1	0	0	0	0
11001	1	0	0	0	0
11005	1	0	0	0	0
11014	1	0	0	0	0
11081	1	1	2	2	10
11085	1	1	2	4	12
11241	1	1	2	4	12
11243	1	0	0	0	0
11270	1	1	2	3	11
11275	1	0	0	0	0
11277	1	1	2	2	10
11280	1	0	0	0	0
11285	1	0	0	0	0
11310	1	1	2	2	10
11313	1	1	2	4	12
11317	1	1	2	4	12
11320	1	1	2	4	12
11350	1	1	2	4	12
11418	1	1	2	2	10
11440	1	1	2	4	12
11441	1	1	2	2	10
11446	1	1	2	4	12
11452	1	1	2	3	11
11492	1	0	0	0	0
11493	1	0	0	0	0
11502	1	0	0	0	0
11534	1	1	2	8	16
11539	1	0	0	0	0
11549	1	1	2	6	14
11550	1	0	0	0	0
11556	1	1	2	2	10
11586	1	1	2	4	12
11600	1	1	1	5	5
11625	1	1	2	3	11
11638	1	1	2	4	12
11639	1	1	2	4	12
11661	1	1	2	2	10
11680	1	1	2	4	12
11682	1	1	2	7	15
11683	1	1	2	7	15
11692	1	1	2	3	11
11702	1	0	0	0	0
11786	1	1	1	5	5
11787	1	1	2	8	16
11788	1	1	2	2	10
11811	1	1	2	3	11
11820	1	1	2	2	10
11836	1	1	2	2	10
11843	1	1	1	5	5
11887	1	0	0	0	0
11935	1	0	0	0	0
11937	1	1	2	3	11
11948	1	1	2	4	12
11965	1	1	1	1	1
11989	1	1	1	5	5
11990	1	1	1	5	5
12040	1	1	2	4	12
12082	1	0	0	0	0
12090	1	1	2	7	15
12173	1	1	2	4	12
12190	1	1	2	6	14
12195	1	0	0	0	0
12246	1	0	0	0	0
12248	1	1	2	4	12
12271	1	1	2	4	12
12285	1	0	0	0	0
12299	1	0	0	0	0
12321	1	1	2	2	10
12355	1	0	0	0	0
12357	1	0	0	0	0
12363	1	0	0	0	0
12365	1	1	2	2	10
12370	1	1	2	2	10
12371	1	1	2	2	10
12373	1	1	2	4	12
12377	1	1	1	5	5
12396	1	1	2	3	11
12399	1	1	2	1	9
12403	1	1	2	4	12
12465	1	0	0	0	0
12505	1	1	3	5	21
12508	1	1	2	1	9
12515	1	1	2	5	13
12516	1	1	2	2	10
12530	1	1	1	5	5
12546	1	1	2	2	10
12555	1	1	2	2	10
12556	1	1	2	4	12
12568	1	1	2	6	14
12621	1	0	0	0	0
12641	1	1	2	4	12
12650	1	1	2	8	16
12680	1	0	0	0	0
12685	1	1	2	4	12
12697	1	1	2	4	12
12716	1	0	0	0	0
12738	1	1	3	6	22
12770	1	0	0	0	0
12781	1	1	1	5	5
12782	1	1	2	4	12
12783	1	1	2	3	11
12794	1	1	2	3	11
12798	1	1	2	3	11
12800	1	1	2	4	12
12807	1	1	1	5	5
12830	1	1	2	2	10
12865	1	1	1	5	5
13376	1	1	2	2	10
13381	1	1	2	3	11
13409	1	0	0	0	0
13447	1	0	0	0	0
13458	1	1	2	3	11
13460	1	1	2	1	9
13476	1	1	2	8	16
13562	1	1	2	4	12
13596	1	1	2	8	16
